Nome do Cidadão;Dias para Resposta;Pedido;Status do Pedido;Identidade de gênero;Cor;Estado 
Cidadão 11;92;Eu gostaria de saber se poderia me ajudar a fazer uma nova contestação, fui aprovada no bolsa família agora em setembro mas não fui no auxílio emergencial, tenho um bebê que acabou de fazer 2 anos sou mãe solteira preciso muito dessa ajuda, ficarei agradecida;Informação Inexistente;Homem transgênero;Branca;Pernambuco (PE)
Cidadão 12;115;boa noite...meu nome é adriana e estou fazendo uma dissertação cujo tema aborda o gerenciamento dos resíduos oleosos,  a geração, a quantidade, o tipo, a rastreabilidade e  a destinação final desses resíduos gerados nas plataformas de petróleo da bacia de campos. seria possível ter acesso a essas informações e dados atuais..obrigada, Adriana;Não se trata de solicitação de informação;Mulher Cisgênero;Pessoa Branca;Bahia (BA)
Cidadão 13;30;Solicito informações sobre Processo 44011.005448/2020-18;Acesso Concedido;Homem Cisgênero;Parda;São Paulo (SP)
Cidadão 14;72;sou mãe solo e  recebo o auxílio de 600 que a extensão é 300. Gostaria de saber de tem como receber o valor que eu tenho direito sendo que estou desempregada.  ;Acesso Negado;Mulher Cisgênero;Preta;Amazonas (AM)
Cidadão 15;421;A quem interessar possa    Estou participando do desenvolvimento do Plano Hidroviário de Passageiros de Valença/BA e Área de Influência (planejamento das linhas hidroviárias para atendimento da população desta região) e gostaria de solicitar ao Ministério do Turismo informações da movimentação de hóspedes para as cidades de Valença/BA, Cairu/BA e Taperoá/BA do Sistema Nacional de Registro de Hóspedes.     As informações pretendidas para os municípios de Valença/BA (IBGE 2932903), Cairu/BA (IBGE 2905404) e Taperoá (2931202) são:  1) Dados separados por municípios   2) Dados separados para os anos 2016/2017/2018/2019 e 2020, ou uma quantidade menor de anos, por exemplo, 2018 e 2019, ou 2019 e 2020.  3) Dados separados por mês.  4) Quantidade de hospedarias (hotéis, pousadas, e outros tipos de hospedarias que utilizam o SNRHos). Não há necessidade de identificar o nome.  5) Informação sobre o Estado de residência do hóspede  6) Informação sobre o Município (ou código IBGE) de residência do hóspede  7) Informação sobre o Motivo da viagem do hóspede  8) Informação sobre o Principal meio de transporte utilizado para se chegar ao destino  9) Informação sobre o Número de hóspedes na unidade habitacional    Não há interesse em dados dos estabelecimentos ou de informações que caracterizem o hóspede. As informações serão utilizadas para caracterização da sazonalidade, Origem-Destino da demanda.    Os dados podem ser fornecidos em txt, csv, xlsx.    Agradeço antecipadamente a atenção!    Mateus Araújo e Silva  CPF 80701019549  mateus@citatis.com.br  maarsilva@unaerp.br;Acesso Concedido;Mulher Cisgênero;Preta;Espírito Santo (ES)
Cidadão 16;29;Certifcado mei P1797980;Acesso Concedido;Homem Cisgênero;Preta;Paraná (PR)
Cidadão 17;87;Boa noite,  Entrei com uma ação na defensoria pública pois recebi duas parcelas do auxílio emergencial e em seguida foi cancelado alegando que sou agente público. Já pesquisei nós canais de transparência e não identifiquei nada que conste que sou agente pública.   Peço ajuda encarecidamente.;Órgão não tem competência para responder sobre o assunto;Homem Cisgênero;Pessoa Branca;Goiás (GO)
Cidadão 18;294;O objetivo deste estudo é apresentar uma alternativa sustentável para amanutenção de solos agrícolas localizados em regiões que não possuem umregime de chuva frequente, a partir da armazenagem de água advinda daprecipitação pluvial no seu interior. Essa pesquisa propõe a construção debarragens subterrâneas ecológicas, simples e de baixo custo, que consistemem um sistema no qual são construídas valas, que vão da superfície até asrochas, e a sua diferenciação é que são cobertas por lonas de um materialimpermeável biodegradável e, em seguida, é fechada com a terra retirada nasua abertura. Nesse sentido, essa técnica tem a finalidade de reter a águadas chuvas no solo e mantê-lo úmido em um intervalo de tempo que variaentre 2 a 5 meses após o período chuvoso e, assim, permitir o cultivo deplantas mesmo em épocas de estiagem e manter o meio ambiente não poluídodevido ao emprego do material biodegradável. Dessa maneira, esse trabalhovisa propor soluções para agricultores em tempos de secas e colaborar parao avanço do agronegócio.   •Gostaria de orientações detalhadas á respeito da construção de uma barragem subterrânea.;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 19;189;Solicito ao comando do Exército Brasileiro, por intermédio do SFPC de cada regiao Militar, DADOS acerca de FURTO/ROUBO/EXTRAVIO  de armamento (PCE) pertencentes a Caçadores, Atiradores e Colecionadores - CAC, no período de 2015 a 2020, conforme dados do SIGMA, com detalhamento por Região Militar e Estado da Federação,    Solicito também, o quantitativo de armamento registrado no SIGMA (todas as espécies) no período de 2015 a 2020, com detalhamento por Região Militar e Estado da Federação,    Solicito dados sintéticos acerca do número de CAC's registrados no período de 2015 a 2020 por Região Militar e Unidade da Federação,;Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
Cidadão 20;102;Solicito ao SINARM, dados analíticos totais do quantitativo de armas registradas junto ao SINARM que foram apreendidas durante cometimento de outros, tais como crimes violentos contra a pessoa e contra o patrimônio no período de 2015 a 2020,    Solicito quantitativo de armas apreendidas sem o devido registro no SINARM durante o período de 2015 a 2020.;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;Pernambuco (PE)
Cidadão 21;55;O servidor público federal é obrigado a compensar as horas não trabalhadas em dias de ponto facultativo declarados pelo Governo Federal ou pela Instituição?;Acesso Concedido;Não binário;Amarela;Minas Gerais (MG)
Cidadão 22;80;Na prévia do meu contra cheque do mês 12/2020 foi retirado o débito do meu plano de saúde GEAP. Por gentileza quero o débito no contra cheque. Sempre foi debitado no contra cheque por que foi retirado?;Acesso Negado;Homem Cisgênero;Branca;Minas Gerais (MG)
Cidadão 23;27;Fazer cadastro;Acesso Negado;Mulher Cisgênero;Branca;Paraíba (PB)
Cidadão 24;41;Informacion sobre el sistema de salud de brazil;Não se trata de solicitação de informação;Homem Cisgênero;Preta;Pernambuco (PE)
Cidadão 25;39;solicito acesso à nota 02/2015/astec/ciset-MD e ao aviso 811/2014/2014/cgu-pr, de 12/12/2014, emitido ao MD;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;Rio Grande do Sul (RS)
Cidadão 26;38;solicito acesso à integra do processo 60100.001979/2014/41;Acesso Concedido;Homem Cisgênero;Branca;Minas Gerais (MG)
Cidadão 27;105;Solicito detalhamento de todos os dados citados neste relatorio  https://eaud.cgu.gov.br/relatorios/download/908580    Fala-se, por exemplo, em sobrepreço de 30 milhoes. como se chegou a isso? favor informar todos os dados    O mesmo com os outros dados fornecidos, como o de que 9 regios metropoloitanas nao atendem adequadamente a populacao, atraso em 8 de 13 obras etc.;Acesso Concedido;Homem Cisgênero;Branca;Minas Gerais (MG)
Cidadão 28;74;Minha análise da extensão do auxílio emergencial desde outubro está em processamento a última parcela que recebi foi dia 30 de setembro ,não tive nem uma alteração nada mudou no meu cotidiano . Só quero saber pq a demora de quase 3 meses sem respostas sobre;Acesso Concedido;Homem Cisgênero;Branca;Paraíba (PB)
Cidadão 29;126;Solicito acesso a todos os dados, em toda a série historica, de tráfico de pessoas, com todos os microdados, até o ano de 2020, ate a data mais atual possivel, do disque 100 / disque 180. nao é necessario informar o nome das pessoas ou qualquer outra informacao pessoal, mas o restante é necessario (qualquer variavel que nao identifique a pessoa especificamente);Não se trata de solicitação de informação;Mulher Cisgênero;Preta;Minas Gerais (MG)
Cidadão 1;134;O meu auxílio foi bloqueado injustamente, estou recorrendo a mais de quatro meses, pois estou desempregado e tenho direito ao auxílio e tenho a necessidade desse direito que é meu por lei, já tentei contato várias vezes nas agências e eles me direcionam pra esse site e até hoje não resolveram a minha situação, não estou em nenhum tipo de fraude, minha documentação estar em dia e estou Apto para mais esclarecimentos se precisar.;Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
Cidadão 2;113;Fui aprovada recentemente para receber a extensão do auxílio emergêncial, mas no site da Dataprev costa que não fui aprovada e tbm não consta meu número no grupo familiar que estou cadastrada, mas quando entre no app do auxílio emergêncial diz que fui aprovada, porém minha conta está zerada. O que posso fazer ?;Acesso Parcialmente Concedido;Mulher Cisgênero;Branca;Pernambuco (PE)
Cidadão 32;64;Este ministerio realizou algum estudo, em 2019 ou 2020, sobre trafico internacional de pessoas? Se sim, solicito acesso ao(s) documento(s).;Acesso Concedido;Homem Cisgênero;Preta;Piauí (PI)
Cidadão 33;95;Estou no cadastro único bolsa família nao trabalho não tenho renda e tenho filho e não recebi minha 5 parcela foi bloqueada e está em análise e não recebi a s demais vou procurar um advogado porque não sei como fazer estou passando necessidade.;Acesso Concedido;Homem Cisgênero;Branca;Paraíba (PB)
Cidadão 34;28;Requerimento em anexo.;Informação Inexistente;Homem Cisgênero;Parda;São Paulo (SP)
Cidadão 35;70;Esta pasta ou alguma de suas secretarias produziu algum estudo sobte trafico internacional de pessoas em 2019 ou 2020? Se sim, favor enviar o(s) documento(s);Acesso Concedido;Homem Cisgênero;Branca;Minas Gerais (MG)
Cidadão 36;23;Requerimento em anexo;Não se trata de solicitação de informação;Mulher Cisgênero;Parda;Minas Gerais (MG)
Cidadão 37;157;Meu Auxílio Emergencial foi bloqueado no dia 25/08/2020. Constando a seguinte mensagem: (Auxílio Emergencial em avaliação  Seu cadastro foi identificado com indícios de desconformidades com a Lei 13.982/2020 e está sendo reavaliado). Motivo do Bloqueio: (Auxílio em avaliação  Cidadão(ã) com indícios de possuir renda familiar mensal superior a meio salário mínimo por pessoa e a três salários mínimos no total.) O que eu posso fazer mediante a essa informação tendo já contestado uma vez e ainda continua em avaliação?;Não se trata de solicitação de informação;Mulher Cisgênero;Amarela;Espírito Santo (ES)
Cidadão 18;315;O objetivo deste estudo é apresentar uma alternativa sustentável para amanutenção de solos agrícolas localizados em regiões que não possuem umregime de chuva frequente, a partir da armazenagem de água advinda daprecipitação pluvial no seu interior. Essa pesquisa propõe a construção debarragens subterrâneas ecológicas, simples e de baixo custo, que consistemem um sistema no qual são construídas valas, que vão da superfície até asrochas, e a sua diferenciação é que são cobertas por lonas de um materialimpermeável biodegradável e, em seguida, é fechada com a terra retirada nasua abertura. Nesse sentido, essa técnica tem a finalidade de reter a águadas chuvas no solo e mantê-lo úmido em um intervalo de tempo que variaentre 2 a 5 meses após o período chuvoso e, assim, permitir o cultivo deplantas mesmo em épocas de estiagem e manter o meio ambiente não poluídodevido ao emprego do material biodegradável. Dessa maneira, esse trabalhovisa propor soluções para agricultores em tempos de secas e colaborar parao avanço do agronegócio.   •Gostaria de orientações detalhadas á respeito da construção de uma barragem subterrânea.;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 19;186;Solicito ao comando do Exército Brasileiro, por intermédio do SFPC de cada regiao Militar, DADOS acerca de FURTO/ROUBO/EXTRAVIO  de armamento (PCE) pertencentes a Caçadores, Atiradores e Colecionadores - CAC, no período de 2015 a 2020, conforme dados do SIGMA, com detalhamento por Região Militar e Estado da Federação,    Solicito também, o quantitativo de armamento registrado no SIGMA (todas as espécies) no período de 2015 a 2020, com detalhamento por Região Militar e Estado da Federação,    Solicito dados sintéticos acerca do número de CAC's registrados no período de 2015 a 2020 por Região Militar e Unidade da Federação,;Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
Cidadão 27;127;Solicito detalhamento de todos os dados citados neste relatorio  https://eaud.cgu.gov.br/relatorios/download/908580    Fala-se, por exemplo, em sobrepreço de 30 milhoes. como se chegou a isso? favor informar todos os dados    O mesmo com os outros dados fornecidos, como o de que 9 regios metropoloitanas nao atendem adequadamente a populacao, atraso em 8 de 13 obras etc.;Acesso Concedido;Homem Cisgênero;Branca;Minas Gerais (MG)
Cidadão 28;87;Minha análise da extensão do auxílio emergencial desde outubro está em processamento a última parcela que recebi foi dia 30 de setembro ,não tive nem uma alteração nada mudou no meu cotidiano . Só quero saber pq a demora de quase 3 meses sem respostas sobre;Acesso Concedido;Homem Cisgênero;Branca;Paraíba (PB)
Cidadão 42;184;Prezado(a) senhor(a),    Peço, por gentileza, que sejam disponibilizadas cópias das análises da ANEEL e do MME que autorizaram o pedido de ampliação da UTE Delta (modificação da UG3 da UTE, cuja capacidade instalada passou de 40MW para 70MW), objeto do Despacho SCG/ANEEL n. 1.682/2014 e da Portaria MME n. 392/2015.    Ressalto que ambas as análises - da ANEEL e MME - não se encontram disponíveis nos Processos Administrativos ANEEL n. 48500.002119/2014-16, 48500.002419/2001-73, 48500.006583/2014-81, e 48500.001874/2014-83.    Contando com sua colaboração, agradeço, desde já, a atenção e me coloco à disposição para eventuais esclarecimentos.    Atenciosamente,;Não se trata de solicitação de informação;Mulher Cisgênero;Parda;São Paulo (SP)
Cidadão 43;27;Tive o auxílio emergencial cancelado e preciso receber novamente.;Acesso Parcialmente Concedido;Mulher Cisgênero;Branca;Mato Grosso do Sul (MS)
Cidadão 44;66;Desde que começou o auxílio eu recebia normal pelo bolsa família 1200 ( mae solteira ) e agosto foi minha última parcela setembro já não recebi mais até hoje ;Não se trata de solicitação de informação;Homem Cisgênero;Parda;Minas Gerais (MG)
Cidadão 45;123;Bom dia   Andei lendo sobre o plano de vacinação não encontrei nada sobre priorização quanto as pessoas com problemas no coração, gostaria de enfatizar a importância em priorizarem pessoas com doenças no coração(pessoas que já tiveram infartos) e outras doenças, inclusive na eleição de 2020 os mesmos não foram priorizados.  Gostaria de saber se o governo vai incluir o grupo também como prioridade ?  Atenciosamente  Anderson Nobre  ;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 46;46;Não consigo dar entrada no auxilio o que faço meu seguro acabou a 4 meses e até agora não recebi nada;Acesso Concedido;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 1;130;O meu auxílio foi bloqueado injustamente, estou recorrendo a mais de quatro meses, pois estou desempregado e tenho direito ao auxílio e tenho a necessidade desse direito que é meu por lei, já tentei contato várias vezes nas agências e eles me direcionam pra esse site e até hoje não resolveram a minha situação, não estou em nenhum tipo de fraude, minha documentação estar em dia e estou Apto para mais esclarecimentos se precisar.;Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
Cidadão 2;102;Fui aprovada recentemente para receber a extensão do auxílio emergêncial, mas no site da Dataprev costa que não fui aprovada e tbm não consta meu número no grupo familiar que estou cadastrada, mas quando entre no app do auxílio emergêncial diz que fui aprovada, porém minha conta está zerada. O que posso fazer ?;Acesso Parcialmente Concedido;Mulher Cisgênero;Branca;Pernambuco (PE)
Cidadão 3;170;Sou aluno do curso Tecnólogo em Gestão em Financeira com duração de 2 anos, matriculado regularmente, todavia a instituição não ofertou para o semestre de 2021-1, as disciplinas curriculares obrigatórias, necessárias para a conclusão do curso.  Questiono se a instituição pode se abster de ofertar as disciplinas obrigatórias, em caráter regular, tendo em vista a autorização de reconhecimento do curso expedida pelo MEC – Portaria 274 de 03.04.2017 – DOU de 04.04.2017,  do curso Tecnólogo em Gestão Financeira, ofertado pela instituição FGV EBAPE.;Acesso Concedido;Homem Cisgênero;Branca;Paraíba (PB)
Cidadão 4;393;Aos responsáveis pela administração pública do IFES,    Venho por meio desta, ancorada na Lei de Acesso a Informação, solicitar informes no referente a PORTARIA Nº 1.333, DE 7 DE JULHO DE 2020. Tal portaria posiciona a suspensão do prazo de validade de concursos referendados pela instituição. Neste sentido, peticiono informes:  1) A Portaria suspende apenas a validade dos concursos, devido a calamidade pública, ou suspende também os efeitos destes juntamente com a validade - passando a vigorar novamente com o cessar da Portaria 1333/2020. Digo isso devido a convocação realizadas pela própria instituição em 002/12/2020  - a exemplo do edital 01/2018 (https://www.ifes.edu.br/images/stories/-publicacoes/processos-seletivos/servidores/2018/2018-01/edital-convocacao-nomeacao-XVI.pdf), 03/2016 (https://www.ifes.edu.br/images/stories/-publicacoes/processos-seletivos/servidores/2016/2016-03/edital_convocacao_para_nomeacao_-XXXVII-DOCENTES-MESTRES-E-DOUT.pdf) e 02/2016 (https://www.ifes.edu.br/images/stories/-publicacoes/processos-seletivos/servidores/2016/2016-02/edital_convocacao_para_nomeacao_-XV-DOCENTES-GRAD-E-ESP.pdf).  2) Se a portaria encontra-se em vigência ou foi substituída ou cessada por outra portaria, neste caso requer-se informação de quais as portarias que substituem-cessam a 1333/2020.  3) A indicação das portarias e bases legais que permitem a suspensão do prazo de validade, e continue-se convocando.    Neste sentido, peticiona-se.;Acesso Negado;Mulher Cisgênero;Parda;Minas Gerais (MG)
Cidadão 5;58;Prezados   Boa noite   Qual é a legislação que deve ser atendida para registrar colágeno em pô.?  No aguardo   Atenciosamente   Gabriel Segalis;Acesso Concedido;Homem Cisgênero;Parda;Pernambuco (PE)
Cidadão 52;64;Meu auxílio está em análise foi bloqueado já está indo pra 1 mês em análise dizendo que tenho trabalho mais não estou já mandei 2 solicitações alguém de Deus pode olhar essa msg estou sem nada em casa ;Não se trata de solicitação de informação;Mulher Cisgênero;Parda;Rio Grande do Norte (RN)
Cidadão 53;73;Prezado(a),  Gostaria de saber se dos 18 códigos de vagas disponíveis para o cargo técnico de laboratório/área, existe algum que ficou vago por vacância? Se sim, qual a quantidade?;Pergunta Duplicada/Repetida;Homem Cisgênero;Pardo;Bahia (BA)
Cidadão 54;169;Bom dia, eu sou mãe solteira e moro com a minha filha de 1 ano. Fui aprovada em abril para o recebimento do auxílio e recebi até a 5 parcela. Quando mudou para as parcelas menores eu verifiquei no sistema e apareceu que eu estava aprovada, porém quando chegou o dia de cair na conta não caiu, quando fui consultar no site da Dataprev estava que fui reprovada pelo critério de ter um emprego informal. Eu não estou trabalhando, preciso do dinheiro e já constatei no mesmo site, porém já tem quase um mês isso e nada de eu ter uma resposta!! por favor eu preciso de uma resposta.;Acesso Negado;Homem Cisgênero;Parda;São Paulo (SP)
Cidadão 55;42;Gostaria de saber se no mês de dezembro não tenho direito a nenhuma parcela do auxílio e o motivo. Obrigada.;Acesso Concedido;Mulher Cisgênero;Preta;Paraíba (PB)
Cidadão 56;136;Olá bom dia gostaria saber por que meu auxilio foi boqueado ? esta dizendo que estou  trabalho formal ? aonde eu estou desempregada fui na caixa econômica tenta resolver essa situação de onde vocês tiraram que estou trabalhando , eu como vários brasileiro dependemos desse auxilio , favor analisa meu caso por gentileza pois estou desempregada.      agradeço pela atenção se possível gostaria saber, da resposta mas rápido possível;Não se trata de solicitação de informação;Mulher Cisgênero;Preta;Minas Gerais (MG)
Cidadão 57;63;Sou de Dezembro,  não recebi nenhuma parcela da estensao do auxilio emergencial,  na dataprev consta q foi rejeitado caixa,  Pq ? Qd vou receber?  ;Não se trata de solicitação de informação;Homem Cisgênero;Preta;São Paulo (SP)
Cidadão 58;120;No site da Caixa Econômica consta que a segunda parcela do meu auxílio emergencial extensão foi depositado na conta social, no site do Dataprev não consta data, ligo para 111, a ligação cai, vou a Caixa, dizem que ainda não foi depositado, e que não conseguem atualizar o aplicativo, meu aplicativo não funciona. Queria somente ter uma resposta.;Acesso Concedido;Mulher Cisgênero;Preta;Roraima (RR)
Cidadão 59;326;ola, sou nilson andre moro em paraopeba estado das minas gerais, recentimente mas provavel no mes de julho de 2020 fiz o cadastro do auxilio emergencial. naquela epoca foi negado pois recentimente havia terminado as parcelas de seguro desemprego. entao fiz o contestamento avisando que ja havia acabado as parcelas dos mesmos.  ai entao foi negada novamente.  no mes de agosto entrei em uma empresa e  trabalhei por um periodo de 46 dias de carteira assinada e depois sair da empresa pq nao havia dado certo.   quando foi ai que pensei em da uma olhada no auxilio e estava la uma parcela de 600 reais que foi depositada no dia 7 de outubro, quando chegou no final do mes de outubro fui conferir e nao saiu demais parcelas.  entao resolvir ir ate a agencia da caixa para procurar saber oq havia acontecido. a atendente entao mim falou que a segunda parcela havia sido bloqueada e que erapara entrarem contato com vcs. e quando ligo no 111 fala q minha segunda parcela foi depositada no dia 5 de agosto ou seja o bloqueio entendo q foi feito devidi eu ter assinado a carteira mas a data da informação nao bate entende. entao gostaria de saber se posso receber a terceira e a 4 parcela pq to desempregado.    obrigado e tenham um bom dia.;Pergunta Duplicada/Repetida;Homem Cisgênero;Preta;Pernambuco (PE)
Cidadão 60;157;Gostaria de saber quando terei um retorno pois estou com a 5 parcela cancelada desde agosto e ainda consta aprovada na dataprev, agora com os critérios em verdes e no app da caixa ainda em avaliação, liberaram meu acesso ao caixa tem novamente em outubro, porém não consta nenhum valor. Contestei em 9 de novembro a ainda não aparece resposta e nem atualização com a extensão. Preciso de um retorno urgente, pois o último prazo para mim receber é dia 13/12 pois sou aniversariante de janeiro. Aguardo.;Acesso Parcialmente Concedido;Mulher Cisgênero;Pessoa Amarela;Goiás (GO)
Cidadão 61;114;Por favor gente me ajudem estou precisando receber o auxílio emergência pois minha carteira foi assinada 1 mês só e devido a pandemia eles diminuíram os funcionários e agora estou sem renda nenhuma passando necessidade com minha filha queria fazer uma contestação para que vcs analisem com urgência pra poder eu voltar a receber.;Não se trata de solicitação de informação;Mulher Cisgênero;Amarela;Pernambuco (PE)
Cidadão 18;314;O objetivo deste estudo é apresentar uma alternativa sustentável para amanutenção de solos agrícolas localizados em regiões que não possuem umregime de chuva frequente, a partir da armazenagem de água advinda daprecipitação pluvial no seu interior. Essa pesquisa propõe a construção debarragens subterrâneas ecológicas, simples e de baixo custo, que consistemem um sistema no qual são construídas valas, que vão da superfície até asrochas, e a sua diferenciação é que são cobertas por lonas de um materialimpermeável biodegradável e, em seguida, é fechada com a terra retirada nasua abertura. Nesse sentido, essa técnica tem a finalidade de reter a águadas chuvas no solo e mantê-lo úmido em um intervalo de tempo que variaentre 2 a 5 meses após o período chuvoso e, assim, permitir o cultivo deplantas mesmo em épocas de estiagem e manter o meio ambiente não poluídodevido ao emprego do material biodegradável. Dessa maneira, esse trabalhovisa propor soluções para agricultores em tempos de secas e colaborar parao avanço do agronegócio.   •Gostaria de orientações detalhadas á respeito da construção de uma barragem subterrânea.;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 19;186;Solicito ao comando do Exército Brasileiro, por intermédio do SFPC de cada regiao Militar, DADOS acerca de FURTO/ROUBO/EXTRAVIO  de armamento (PCE) pertencentes a Caçadores, Atiradores e Colecionadores - CAC, no período de 2015 a 2020, conforme dados do SIGMA, com detalhamento por Região Militar e Estado da Federação,    Solicito também, o quantitativo de armamento registrado no SIGMA (todas as espécies) no período de 2015 a 2020, com detalhamento por Região Militar e Estado da Federação,    Solicito dados sintéticos acerca do número de CAC's registrados no período de 2015 a 2020 por Região Militar e Unidade da Federação,;Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
